season,team,out_player,out_pos,metric,beneficiary,benef_pos,share_with,share_without,delta,n_with,n_without
2025,ARI,James Conner,RB,carries,Trey Benson,RB,0.2654,0.4706,0.2052,3,1
2025,ARI,James Conner,RB,carries,Emari Demercado,RB,0.0714,0.2071,0.1357,1,10
2025,ARI,James Conner,RB,carries,Jacoby Brissett,QB,0.0476,0.158,0.1103,1,11
2025,ARI,James Conner,RB,carries,Greg Dortch,WR,0.0357,0.0707,0.035,1,4
2025,ARI,James Conner,RB,targets,Michael Wilson,WR,0.0923,0.2143,0.122,3,14
2025,ARI,James Conner,RB,targets,Greg Dortch,WR,0.0444,0.0975,0.053,3,7
2025,ARI,James Conner,RB,targets,Zay Jones,WR,0.0614,0.0965,0.0352,2,4
2025,ARI,James Conner,RB,targets,Emari Demercado,RB,0.0294,0.0538,0.0244,1,9
2025,ARI,Zay Jones,WR,carries,Trey Benson,RB,0.2654,0.4706,0.2052,3,1
2025,ARI,Zay Jones,WR,carries,Kyler Murray,QB,0.2243,0.2941,0.0698,4,1
2025,ARI,Zay Jones,WR,carries,Bam Knight,RB,0.3729,0.4053,0.0324,5,5
2025,ARI,Zay Jones,WR,carries,Greg Dortch,WR,0.0532,0.0794,0.0262,3,2
2025,ARI,Zay Jones,WR,carries,Jacoby Brissett,QB,0.1344,0.159,0.0247,5,7
2025,ARI,Zay Jones,WR,targets,Michael Wilson,WR,0.1187,0.2586,0.1399,8,9
2025,ARI,Zay Jones,WR,targets,Greg Dortch,WR,0.056,0.12,0.064,6,4
2025,ARI,Zay Jones,WR,targets,Bam Knight,RB,0.072,0.0991,0.0271,5,4
2025,ARI,Zay Jones,WR,targets,Elijah Higgins,TE,0.067,0.0846,0.0176,8,7
2025,ARI,Zay Jones,WR,targets,Emari Demercado,RB,0.0446,0.0559,0.0113,4,6
2025,ARI,Kyler Murray,QB,carries,Bam Knight,RB,0.1379,0.417,0.2791,1,9
2025,ARI,Kyler Murray,QB,carries,Emari Demercado,RB,0.0975,0.2313,0.1338,3,8
2025,ARI,Kyler Murray,QB,carries,Jacoby Brissett,QB,0.0476,0.158,0.1103,1,11
2025,ARI,Kyler Murray,QB,carries,Greg Dortch,WR,0.0473,0.0747,0.0274,2,3
2025,ARI,Kyler Murray,QB,targets,Michael Wilson,WR,0.112,0.2264,0.1144,5,12
2025,ARI,Kyler Murray,QB,targets,Bam Knight,RB,0.0333,0.0904,0.0571,1,8
2025,ARI,Kyler Murray,QB,targets,Xavier Weaver,WR,0.025,0.0599,0.0349,1,5
2025,ARI,Kyler Murray,QB,targets,Greg Dortch,WR,0.065,0.0981,0.0331,5,5
2025,ARI,Kyler Murray,QB,targets,Zay Jones,WR,0.0742,0.0954,0.0212,3,3
2025,ARI,Bam Knight,RB,carries,Michael Carter,RB,0.2962,0.4945,0.1982,10,3
2025,ARI,Bam Knight,RB,carries,Corey Kiner,RB,0.0952,0.1793,0.084,1,3
2025,ARI,Bam Knight,RB,carries,Trey Benson,RB,0.3067,0.3267,0.02,2,2
2025,ARI,Bam Knight,RB,carries,Emari Demercado,RB,0.1909,0.2017,0.0108,7,4
2025,ARI,Bam Knight,RB,targets,James Conner,RB,0.04,0.1278,0.0878,1,2
2025,ARI,Bam Knight,RB,targets,Elijah Higgins,TE,0.0618,0.102,0.0402,10,5
2025,ARI,Bam Knight,RB,targets,Xavier Weaver,WR,0.0425,0.0773,0.0349,4,2
2025,ARI,Bam Knight,RB,targets,Josiah Deguara,TE,0.0222,0.053,0.0307,2,2
2025,ARI,Bam Knight,RB,targets,Tip Reiman,TE,0.0333,0.0614,0.028,1,2
2025,ARI,Emari Demercado,RB,carries,Bam Knight,RB,0.302,0.5197,0.2177,6,4
2025,ARI,Emari Demercado,RB,carries,Jacoby Brissett,QB,0.1222,0.202,0.0798,8,4
2025,ARI,Emari Demercado,RB,carries,Greg Dortch,WR,0.0546,0.1,0.0454,4,1
2025,ARI,Emari Demercado,RB,targets,Michael Wilson,WR,0.1754,0.2491,0.0737,13,4
2025,ARI,Emari Demercado,RB,targets,Andre Baccellia,WR,0.0175,0.0682,0.0506,1,1
2025,ARI,Emari Demercado,RB,targets,Bam Knight,RB,0.0625,0.1109,0.0484,5,4
2025,ARI,Emari Demercado,RB,targets,Greg Dortch,WR,0.0725,0.1028,0.0304,7,3
2025,ARI,Marvin Harrison Jr.,WR,carries,Jacoby Brissett,QB,0.1248,0.1824,0.0576,7,5
2025,ARI,Marvin Harrison Jr.,WR,carries,Greg Dortch,WR,0.0546,0.1,0.0454,4,1
2025,ARI,Marvin Harrison Jr.,WR,targets,Michael Wilson,WR,0.1398,0.3198,0.18,12,5
2025,ARI,Marvin Harrison Jr.,WR,targets,Greg Dortch,WR,0.0643,0.1505,0.0861,8,2
2025,ARI,Marvin Harrison Jr.,WR,targets,Bam Knight,RB,0.0735,0.1051,0.0315,6,3
2025,ARI,Trey Benson,RB,carries,Michael Carter,RB,0.0588,0.3656,0.3068,1,12
